position,frequency
0,0.0
1,10.7666015625
2,21.533203125
3,32.2998046875
4,43.06640625
5,53.8330078125
6,64.599609375
7,75.3662109375
8,86.1328125
9,96.8994140625
10,107.666015625
11,118.4326171875
12,129.19921875
13,139.9658203125
14,150.732421875
15,161.4990234375
16,172.265625
17,183.0322265625
18,193.798828125
19,204.5654296875
20,215.33203125
21,226.0986328125
22,236.865234375
23,247.6318359375
24,258.3984375
25,269.1650390625
26,279.931640625
27,290.6982421875
28,301.46484375
29,312.2314453125
30,322.998046875
31,333.7646484375
32,344.53125
33,355.2978515625
34,366.064453125
35,376.8310546875
36,387.59765625
37,398.3642578125
38,409.130859375
39,419.8974609375
40,430.6640625
41,441.4306640625
42,452.197265625
43,462.9638671875
44,473.73046875
45,484.4970703125
46,495.263671875
47,506.0302734375
48,516.796875
49,527.5634765625
50,538.330078125
51,549.0966796875
52,559.86328125
53,570.6298828125
54,581.396484375
55,592.1630859375
56,602.9296875
57,613.6962890625
58,624.462890625
59,635.2294921875
60,645.99609375
61,656.7626953125
62,667.529296875
63,678.2958984375
64,689.0625
65,699.8291015625
66,710.595703125
67,721.3623046875
68,732.12890625
69,742.8955078125
70,753.662109375
71,764.4287109375
72,775.1953125
73,785.9619140625
74,796.728515625
75,807.4951171875
76,818.26171875
77,829.0283203125
78,839.794921875
79,850.5615234375
80,861.328125
81,872.0947265625
82,882.861328125
83,893.6279296875
84,904.39453125
85,915.1611328125
86,925.927734375
87,936.6943359375
88,947.4609375
89,958.2275390625
90,968.994140625
91,979.7607421875
92,990.52734375
93,1001.2939453125
94,1012.060546875
95,1022.8271484375
96,1033.59375
97,1044.3603515625
98,1055.126953125
99,1065.8935546875
100,1076.66015625
101,1087.4267578125
102,1098.193359375
103,1108.9599609375
104,1119.7265625
105,1130.4931640625
106,1141.259765625
107,1152.0263671875
108,1162.79296875
109,1173.5595703125
110,1184.326171875
111,1195.0927734375
112,1205.859375
113,1216.6259765625
114,1227.392578125
115,1238.1591796875
116,1248.92578125
117,1259.6923828125
118,1270.458984375
119,1281.2255859375
120,1291.9921875
121,1302.7587890625
122,1313.525390625
123,1324.2919921875
124,1335.05859375
125,1345.8251953125
126,1356.591796875
127,1367.3583984375
128,1378.125
129,1388.8916015625
130,1399.658203125
131,1410.4248046875
132,1421.19140625
133,1431.9580078125
134,1442.724609375
135,1453.4912109375
136,1464.2578125
137,1475.0244140625
138,1485.791015625
139,1496.5576171875
140,1507.32421875
141,1518.0908203125
142,1528.857421875
143,1539.6240234375
144,1550.390625
145,1561.1572265625
146,1571.923828125
147,1582.6904296875
148,1593.45703125
149,1604.2236328125
150,1614.990234375
151,1625.7568359375
152,1636.5234375
153,1647.2900390625
154,1658.056640625
155,1668.8232421875
156,1679.58984375
157,1690.3564453125
158,1701.123046875
159,1711.8896484375
160,1722.65625
161,1733.4228515625
162,1744.189453125
163,1754.9560546875
164,1765.72265625
165,1776.4892578125
166,1787.255859375
167,1798.0224609375
168,1808.7890625
169,1819.5556640625
170,1830.322265625
171,1841.0888671875
172,1851.85546875
173,1862.6220703125
174,1873.388671875
175,1884.1552734375
176,1894.921875
177,1905.6884765625
178,1916.455078125
179,1927.2216796875
180,1937.98828125
181,1948.7548828125
182,1959.521484375
183,1970.2880859375
184,1981.0546875
185,1991.8212890625
186,2002.587890625
187,2013.3544921875
188,2024.12109375
189,2034.8876953125
190,2045.654296875
191,2056.4208984375
192,2067.1875
193,2077.9541015625
194,2088.720703125
195,2099.4873046875
196,2110.25390625
197,2121.0205078125
198,2131.787109375
199,2142.5537109375
200,2153.3203125
201,2164.0869140625
202,2174.853515625
203,2185.6201171875
204,2196.38671875
205,2207.1533203125
206,2217.919921875
207,2228.6865234375
208,2239.453125
209,2250.2197265625
210,2260.986328125
211,2271.7529296875
212,2282.51953125
213,2293.2861328125
214,2304.052734375
215,2314.8193359375
216,2325.5859375
217,2336.3525390625
218,2347.119140625
219,2357.8857421875
220,2368.65234375
221,2379.4189453125
222,2390.185546875
223,2400.9521484375
224,2411.71875
225,2422.4853515625
226,2433.251953125
227,2444.0185546875
228,2454.78515625
229,2465.5517578125
230,2476.318359375
231,2487.0849609375
232,2497.8515625
233,2508.6181640625
234,2519.384765625
235,2530.1513671875
236,2540.91796875
237,2551.6845703125
238,2562.451171875
239,2573.2177734375
240,2583.984375
241,2594.7509765625
242,2605.517578125
243,2616.2841796875
244,2627.05078125
245,2637.8173828125
246,2648.583984375
247,2659.3505859375
248,2670.1171875
249,2680.8837890625
250,2691.650390625
251,2702.4169921875
252,2713.18359375
253,2723.9501953125
254,2734.716796875
255,2745.4833984375
256,2756.25
257,2767.0166015625
258,2777.783203125
259,2788.5498046875
260,2799.31640625
261,2810.0830078125
262,2820.849609375
263,2831.6162109375
264,2842.3828125
265,2853.1494140625
266,2863.916015625
267,2874.6826171875
268,2885.44921875
269,2896.2158203125
270,2906.982421875
271,2917.7490234375
272,2928.515625
273,2939.2822265625
274,2950.048828125
275,2960.8154296875
276,2971.58203125
277,2982.3486328125
278,2993.115234375
279,3003.8818359375
280,3014.6484375
281,3025.4150390625
282,3036.181640625
283,3046.9482421875
284,3057.71484375
285,3068.4814453125
286,3079.248046875
287,3090.0146484375
288,3100.78125
289,3111.5478515625
290,3122.314453125
291,3133.0810546875
292,3143.84765625
293,3154.6142578125
294,3165.380859375
295,3176.1474609375
296,3186.9140625
297,3197.6806640625
298,3208.447265625
299,3219.2138671875
300,3229.98046875
301,3240.7470703125
302,3251.513671875
303,3262.2802734375
304,3273.046875
305,3283.8134765625
306,3294.580078125
307,3305.3466796875
308,3316.11328125
309,3326.8798828125
310,3337.646484375
311,3348.4130859375
312,3359.1796875
313,3369.9462890625
314,3380.712890625
315,3391.4794921875
316,3402.24609375
317,3413.0126953125
318,3423.779296875
319,3434.5458984375
320,3445.3125
321,3456.0791015625
322,3466.845703125
323,3477.6123046875
324,3488.37890625
325,3499.1455078125
326,3509.912109375
327,3520.6787109375
328,3531.4453125
329,3542.2119140625
330,3552.978515625
331,3563.7451171875
332,3574.51171875
333,3585.2783203125
334,3596.044921875
335,3606.8115234375
336,3617.578125
337,3628.3447265625
338,3639.111328125
339,3649.8779296875
340,3660.64453125
341,3671.4111328125
342,3682.177734375
343,3692.9443359375
344,3703.7109375
345,3714.4775390625
346,3725.244140625
347,3736.0107421875
348,3746.77734375
349,3757.5439453125
350,3768.310546875
351,3779.0771484375
352,3789.84375
353,3800.6103515625
354,3811.376953125
355,3822.1435546875
356,3832.91015625
357,3843.6767578125
358,3854.443359375
359,3865.2099609375
360,3875.9765625
361,3886.7431640625
362,3897.509765625
363,3908.2763671875
364,3919.04296875
365,3929.8095703125
366,3940.576171875
367,3951.3427734375
368,3962.109375
369,3972.8759765625
370,3983.642578125
371,3994.4091796875
372,4005.17578125
373,4015.9423828125
374,4026.708984375
375,4037.4755859375
376,4048.2421875
377,4059.0087890625
378,4069.775390625
379,4080.5419921875
380,4091.30859375
381,4102.0751953125
382,4112.841796875
383,4123.6083984375
384,4134.375
385,4145.1416015625
386,4155.908203125
387,4166.6748046875
388,4177.44140625
389,4188.2080078125
390,4198.974609375
391,4209.7412109375
392,4220.5078125
393,4231.2744140625
394,4242.041015625
395,4252.8076171875
396,4263.57421875
397,4274.3408203125
398,4285.107421875
399,4295.8740234375
400,4306.640625
401,4317.4072265625
402,4328.173828125
403,4338.9404296875
404,4349.70703125
405,4360.4736328125
406,4371.240234375
407,4382.0068359375
408,4392.7734375
